Season, Episode, Title, Reason
1, 5, The Enchiridion, "A good intro to the series, plus introduces the important Enchiridion"
1, 8, Business Time*, "First mention of Ooo being post-apocalyptic"
1, 9, My Two Favorite People, "Intros the Jake and LR plotline"
1, 10, Memories of Boom Boom Mountain, "A look at how Finn was adopted into Jake's Family"
1, 12, Evicted!, "Intros Marceline"
1, 16, Ocean of Fear, "Introduces Finn's phobia"
1, 22, Henchman*, "Establishes Finn and Marceline as friends"
1, 23, Rainy Day Daydream*, "good episode to show someone who’s never seen the show before"
1, 25, His Hero, "introduces the Lich and Billy"
2, 1, It Came from the Nightosphere, "Significant to Marceline's Personal Plotline, Also Gunter foreshadowing"
2, 10, To Cut a Woman's Hair, "Finn development"
2, 12, Her Parents, "Continuation of Jake and LR Storyline"
2, 17, Death in Bloom, "Separates the Nightosphere from the Dead Worlds"
2, 18, Susan Strong*, "Significant for Susan's Possible Humanity"
2, 22, The Limit*, "Jake Character Development"
2, 24, Mortal Folly, "Lich Plotline"
2, 25, Mortal Recoil, "Lich Plotline"
3, 3, Memory of Memory, "Introduces Hambo, some of Marcy’s backstory"
3, 5, Too Young*, "Princess Bubblegum Background and wrapping up 2,  Finale, Intro to Lemongrab plot"
3, 9, Fionna and Cake*, "A fan favorite"
3, 10, What Was Missing, "important characterization"
3, 12, The Creeps*, "Hints to future episode"
3, 14, Beautopia*, "Continues Susan Strong story line"
3, 19, Holly Jolly Secrets 1, "Ice King and Mushroom War Plot"
3, 20, Holly Jolly Secrets 2, "Ice King and Mushroom War Plot"
3, 25, Dad's Dungeon, "Finn and Jake Background"
3, 26, Incendium Pt.1*, "Flame Princess Plot Intro"
4, 1, Hot to the Touch*, "Flame Princess Subplot"
4, 2, Five Short Graybles*, "For the Exploded map of Earth in the Intro"
4, 5, Return to the Nightosphere, "Marceline Background"
4, 6, Daddy's Little Monster, "Marceline Background"
4, 7, In Your Footsteps*, "Lich Plot at End"
4, 10, Goliad*, "Finn and PB character development, maybe a returning plot?"
4, 15, Sons of Mars, "Introduces GGGG"
4, 16, Burning Low*, "Flame Princess Plot"
4, 18, King Worm*, "Hints to future events"
4, 20, You Made Me*, "Lemongrab Plot"
4, 22, Ignition Point*, "Flame Princess Plot"
4, 25, I Remember You, "Marceline and Simon Plot"
4, 26, The Lich Pt.1, "Lich Plot"
5, 1, Finn The Human, "Lich Plot and Mushroom War"
5, 2, Jake The Dog, "See Above"
5, 6, Jake the Dad, "Jake and Lady Rainicorn Plot"
5, 9, All Your Fault*, "Lemongrab Plot"
5, 11, Bad Little Boy*, "Insight into Marceline and Ice King's day-to-day relationship, continution of Fionna and Cake subplot"
5, 12, Vault of Bones*, "Flame Princess Plot"
5, 14, Simon and Marcy, "Simon and Marceline Plot, Mushroom War"
5, 16, Puhoy*, "Flame Princess Plot"
5, 21, The Suitor*, "Princess Bubblegum Character Development"
5, 23, One Last Job, "Jake's past"
5, 24, Another Five More Short Graybles*, "Some slight plot elements that come back"
5, 28, Be More*, "B, MO backstory"
5, 29, Sky Which, "Reclaiming Hambo"
5, 30, Frost & Fire*, "Flame Princess Plot"
